"No.","Time","Source","Destination","Protocol","Length","Source BD_ADDR","BD_ADDR","Data","Info"
"4493","42.505000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000480ab46654bbe765a5ed7dbe7632ce0de","Rcvd LE Meta (LE Extended Advertising Report)"
"4545","42.692000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000409cb31dfac43b900cc04cef0058904bf","Rcvd LE Meta (LE Extended Advertising Report)"
"4664","43.062000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000480ab46654bbe765a5ed7dbe7632ce0de","Rcvd LE Meta (LE Extended Advertising Report)"
"4819","43.632000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000409cb31dfac43b900cc04cef0058904bf","Rcvd LE Meta (LE Extended Advertising Report)"
"4915","43.896000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"5078","44.446000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"5095","44.488000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"5178","44.823000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"5240","45.048000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"5325","45.208000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"5338","45.231000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"5469","45.762000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"5532","45.986000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"5591","46.166000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"5689","46.543000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"5749","46.694000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"5758","46.733000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"6119","47.989000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"6295","48.544000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"6567","49.465000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"6742","50.016000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"6947","50.644000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"7029","50.942000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"7049","51.015000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"7077","51.133000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"7132","51.326000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"7477","52.437000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"7503","52.516000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"7560","52.701000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"7631","52.887000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"7674","53.072000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"7726","53.259000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"7755","53.357000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"7845","53.550000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"7863","53.634000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"7895","53.738000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"7908","54.001000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"7948","54.305000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"8004","54.937000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"8106","55.785000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"8144","56.428000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"8168","56.709000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"8436","59.402000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"8454","59.693000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"8505","59.966000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"8523","60.253000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"8583","60.898000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004feb42f480fa120fa6e51a0e5c2f429be","Rcvd LE Meta (LE Extended Advertising Report)"
"8601","61.184000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100048e16db92452f6dcc5684461a433130f0","Rcvd LE Meta (LE Extended Advertising Report)"
"8666","62.071000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004da5c91eccd2e4bea13ccd8e27f07f084","Rcvd LE Meta (LE Extended Advertising Report)"
"8816","63.364000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000486a012900a892b072ba061e9b94253b4","Rcvd LE Meta (LE Extended Advertising Report)"
"8821","63.374000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004da5c91eccd2e4bea13ccd8e27f07f084","Rcvd LE Meta (LE Extended Advertising Report)"
"8961","64.870000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004da5c91eccd2e4bea13ccd8e27f07f084","Rcvd LE Meta (LE Extended Advertising Report)"
"9126","66.166000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000486a012900a892b072ba061e9b94253b4","Rcvd LE Meta (LE Extended Advertising Report)"
"9199","67.096000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000486a012900a892b072ba061e9b94253b4","Rcvd LE Meta (LE Extended Advertising Report)"
"9410","70.631000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000486a012900a892b072ba061e9b94253b4","Rcvd LE Meta (LE Extended Advertising Report)"
"9417","70.653000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004da5c91eccd2e4bea13ccd8e27f07f084","Rcvd LE Meta (LE Extended Advertising Report)"
"9481","71.574000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000486a012900a892b072ba061e9b94253b4","Rcvd LE Meta (LE Extended Advertising Report)"
"9510","72.145000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004da5c91eccd2e4bea13ccd8e27f07f084","Rcvd LE Meta (LE Extended Advertising Report)"
"9559","72.492000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000486a012900a892b072ba061e9b94253b4","Rcvd LE Meta (LE Extended Advertising Report)"
"9590","73.053000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000486a012900a892b072ba061e9b94253b4","Rcvd LE Meta (LE Extended Advertising Report)"
"9659","73.996000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab711000486a012900a892b072ba061e9b94253b4","Rcvd LE Meta (LE Extended Advertising Report)"
"9940","78.140000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004da5c91eccd2e4bea13ccd8e27f07f084","Rcvd LE Meta (LE Extended Advertising Report)"
